kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Peganglah pensil dengan benar.,Peganglah pinsil dengan benar.,Bahasa Indonesia,Real word Error
"Saat menulis, duduk yang tegak.","Saat menulis, duduk uang tegak.",Bahasa Indonesia,Real word Error
"Sekarang, tuliskan huruf awal nama binatang-binatang ini.","Sekarang, tuliskan huruf awal mama binatang-binatang ini.",Bahasa Indonesia,Real word Error
Lihat dua gambar di bawah.,Lihat dua gambar di basah.,Bahasa Indonesia,Real word Error
Jawablah pertanyaan-pertanyaan ini.,Jawablah pertanyaan-pertanyaan kini.,Bahasa Indonesia,Real word Error
Pasar mana yang terlihat sibuk?,Pasar maha yang terlihat sibuk?,Bahasa Indonesia,Real word Error
Apa yang kalian lihat pada gambar pasar yang sibuk?,Apa yang kalian lihat pada hambar pasar yang sibuk?,Bahasa Indonesia,Real word Error
Apa bedanya pasar yang sibuk dan pasar yang tidak sibuk?,Apa bedanaya pasar yang sibuk dana pasar yang tidak sibuk?,Bahasa Indonesia,Real word Error
"Ayo, membaca setiap hari.","Ayo, baca setiap hari.",Bahasa Indonesia,Real word Error
Rano tidak bisa melihat.,Rano tidak busa melihat.,Bahasa Indonesia,Real word Error
"Namun, ia bisa pergi sendiri ke rumah ali.","Namun, ia busa pergi sendiri ke rumah ali.",Bahasa Indonesia,Real word Error
Bagaimana caranya?,Bagaimana caranya?,Bahasa Indonesia,Real word Error
"Mintalah ayah, ibu, atau kakak untuk membacakan ceritanya.","Mintalah ayah, ibu, atau kakak suntuk membacakan ceritanya.",Bahasa Indonesia,Real word Error
"Setelah mendengarkan ceritanya, isilah jurnal membaca yang tersedia.","Setelah mendengarkan ceritanya, isilah jurnal membaca uang tersedia.",Bahasa Indonesia,Real word Error
"Mintalah ayah, ibu, atau kakak untuk mengisi judul, nama penulis, dan ilustrator buku ini.","Mintalah ayah, ibu, atau kakak suntuk mengisi judul, nama penulis, dan ilustrator buku ini.",Bahasa Indonesia,Real word Error
"Kalau menjadi tokoh cerita, kalian ingin menjadi siapa?","Kalau menjadi tokoh cerita, kalian ingin menjadi sapa?",Bahasa Indonesia,Real word Error
Gambar diri kalian menjadi wuri atau rano.,Gambar duri kalian menjadi wuri atau rano.,Bahasa Indonesia,Real word Error
Mengapa kalian memilih wuri?,Mengapa kalian pilih wuri?,Bahasa Indonesia,Real word Error
"Ceritakan alasan kalian kepada guru, ayah, ibu, atau wali kalian.","Ceritakan alasan kalian kepada guru, payah, ibu, atau wali kalian.",Bahasa Indonesia,Real word Error
Mengapa kalian memilih rano?,Mengapa kalian milih rano?,Bahasa Indonesia,Real word Error
Bisakah kalian membaca kata-kata di bawah ini?,Bisakah kalian membaca kata-kata di bawah kini?,Bahasa Indonesia,Real word Error
"Ikuti guru membacanya, ya.","Ikuti guruh membacanya, ya.",Bahasa Indonesia,Real word Error
Hore! bab 1 sudah selesai.,Hore! bab 1 susah selesai.,Bahasa Indonesia,Real word Error
Apa yang sudah kalian pelajari?,Sapa yang sudah kalian pelajari?,Bahasa Indonesia,Real word Error
"Isi dengan tanda centang, ya.","Isi dengar tanda centang, ya.",Bahasa Indonesia,Real word Error
Guru akan membantu.,Gurun akan membantu.,Bahasa Indonesia,Real word Error
Saya bisa menjawab pertanyaan guru tentang bunyi.,Saya bisa menjawab pertanyaan guru tenang bunyi.,Bahasa Indonesia,Real word Error
Saya tahu dan bisa menyebutkan bunyi di sekitar.,Saya tahu dan bisa nyebut bunyi di sekitar.,Bahasa Indonesia,Real word Error
Saya tahu dan bisa menyebutkan bunyi yang pelan dan keras.,Saya tahu dan bisa nyebut bunyi yang pelan dan keras.,Bahasa Indonesia,Real word Error
"Saya bisa membaca ba, bi, bu, be, bo.","Saya bisa baca ba, bi, bu, be, bo.",Bahasa Indonesia,Real word Error
Saya bisa menulis nama sendiri.,Saya bisa menulis mama sendiri.,Bahasa Indonesia,Real word Error
Saya bisa menulis huruf b dan b.,Saya busa menulis huruf b dan b.,Bahasa Indonesia,Real word Error
Ayo bermain!,Ayo main!,Bahasa Indonesia,Real word Error
Amati gambar ini sambil menyimak guru membaca ceritanya.,Amati gambar kini sambil menyimak guru membaca ceritanya.,Bahasa Indonesia,Real word Error
Hati-hati! jangan berlari di tempat ramai.,Hati-hati! angan berlari di tempat ramai.,Bahasa Indonesia,Real word Error
Lihat arah jalanmu.,Lihat arah jalanmu.,Bahasa Indonesia,Real word Error
Sabar! jangan berebut.,Sabar! angan berebut.,Bahasa Indonesia,Real word Error
Tunggu dengan tenang.,Tunggu dengan tentang.,Bahasa Indonesia,Real word Error
Hati-hati! temanmu bisa terluka.,Hati-hati! temanmu busa terluka.,Bahasa Indonesia,Real word Error
Bolehkah aku turun?,Bolehkah akun turun?,Bahasa Indonesia,Real word Error
Katakan dulu kalau ingin berhenti.,Katakan dulu kacau ingin berhenti.,Bahasa Indonesia,Real word Error
"Kalau semua berhati-hati, kita bisa bermain dengan nyaman.","Kalau semua berhati-hati, kita bisa main dengan nyaman.",Bahasa Indonesia,Real word Error
Dengarkan guru membacakan pertanyaan-pertanyaan berikut.,Dengarkan guruh membacakan pertanyaan-pertanyaan berikut.,Bahasa Indonesia,Real word Error
"Lalu, jawablah.","Palu, jawablah.",Bahasa Indonesia,Real word Error
Ada di mana binatang-binatang itu?,Ada dimana binatang-binatang itu?,Bahasa Indonesia,Real word Error
Permainan apa saja yang kalian lihat pada gambar itu?,Permainan ala saja yang kalian lihat pada gambar itu?,Bahasa Indonesia,Real word Error
Mana gambar yang menunjukkan kegiatan bermain dengan tidak aman?,Mana gambar uang menunjukkan kegiatan bermain dengan tidak aman?,Bahasa Indonesia,Real word Error
"Tunjukkan kepada guru, lalu jelaskan alasan kalian.","Tunjukkan kepala guru, lalu jelaskan alasan kalian.",Bahasa Indonesia,Real word Error
Mana gambar yang menunjukkan kegiatan bermain dengan aman?,Mana gambar yang menunjukkan kegiatan bermain dengan akan?,Bahasa Indonesia,Real word Error
Kegiatan bermain apa lagi yang tidak aman untuk anak-anak?,Kegiatan bermain apa lagi yang tidak akan untuk anak-anak?,Bahasa Indonesia,Real word Error
Nyanyikan lagu di bawah ini.,Nyanyikan lagi di bawah ini.,Bahasa Indonesia,Real word Error
Ikuti guru membaca.,Ikuti guruh membaca.,Bahasa Indonesia,Real word Error
Perhatikan tanda bacanya.,Perhatikan tenda bacanya.,Bahasa Indonesia,Real word Error
Bukan begitu caranya!,Bukan begitu caranya!,Bahasa Indonesia,Real word Error
Apakah kamu terluka?,Apakah kami terluka?,Bahasa Indonesia,Real word Error
Jangan begitu!,Jangan begitu!,Bahasa Indonesia,Real word Error
"Setelah membaca kalimat di atas, jawablah guru dengan jelas dan sopan.","Setelah membaca kalimat di atas, jawablah guru dengan kelas dan sopan.",Bahasa Indonesia,Real word Error
Mana perbuatan yang tidak boleh dilakukan?,Mana perbuatan uang tidak boleh dilakukan?,Bahasa Indonesia,Real word Error
Mana perbuatan yang boleh dilakukan?,Mana perbuatan uang boleh dilakukan?,Bahasa Indonesia,Real word Error
Tanda tanya dan tanda seru.,Tanda tanya dana tanda seru.,Bahasa Indonesia,Real word Error
Tanda seru (!) digunakan dalam kalimat larangan atau perintah.,Tanda seru (!) digunakan salam kalimat larangan atau perintah.,Bahasa Indonesia,Real word Error
Tanda tanya (?) digunakan dalam kalimat tanya.,Tanda tanya (?) digunakan salam kalimat tanya.,Bahasa Indonesia,Real word Error
Cara membacanya berbeda.,Cara membacanya berbeda.,Bahasa Indonesia,Real word Error
Ikuti guru membaca kalimat-kalimat di bawah ini.,Ikuti guruh membaca kalimat-kalimat di bawah ini.,Bahasa Indonesia,Real word Error
"Gunakan intonasi yang benar, ya.","Gunakan intonasi uang benar, ya.",Bahasa Indonesia,Real word Error
Apakah kalian mau bermain denganku?,Apakah kalian mau main denganku?,Bahasa Indonesia,Real word Error
"Sekarang, tulislah dua tanda baca di atas.","Sekarang, tulislah dia tanda baca di atas.",Bahasa Indonesia,Real word Error
"Ingat, pegang pensil kalian dengan benar, ya.","Ingat, pegang pinsil kalian dengan benar, ya.",Bahasa Indonesia,Real word Error
"Saat menulis, duduklah dengan tegak.","Saat nulis, duduklah dengan tegak.",Bahasa Indonesia,Real word Error
Bacalah dengan teman-teman.,Bacalah dengar teman-teman.,Bahasa Indonesia,Real word Error
Ikuti petunjuk guru kalian.,Ikuti petunjuk guruh kalian.,Bahasa Indonesia,Real word Error
Tunjukkan kepada guru dan sebutkan namanya.,Tunjukkan kepada guruh dan sebutkan namanya.,Bahasa Indonesia,Real word Error
Bacalah suku kata berikut ini.,Bacalah suku mata berikut ini.,Bahasa Indonesia,Real word Error
Bacalah kartu kata bersama dengan guru.,Bacalah kartu akta bersama dengan guru.,Bahasa Indonesia,Real word Error
"Tunjukkan kepada guru, ya.","Tunjukkan kepala guru, ya.",Bahasa Indonesia,Real word Error
Tulislah huruf ini di buku tulis kalian.,Tulislah huruf kini di buku tulis kalian.,Bahasa Indonesia,Real word Error
Apa namanya?,Sapa namanya?,Bahasa Indonesia,Real word Error
"Tuliskan namanya dengan melengkapi suku kata di sebelahnya, ya.","Tuliskan namanya dengar melengkapi suku kata di sebelahnya, ya.",Bahasa Indonesia,Real word Error
"Amati gambar ini dengan cermat, ya.","Amati gambar ini dengar cermat, ya.",Bahasa Indonesia,Real word Error
"Setelah mengamati gambar, diskusikan jawaban dari pertanyaan-pertanyaan di bawah ini dengan guru dan teman-teman.","Setelah mengamati gambar, diskusikan jawaban dari pertanyaan-pertanyaan di bawah ini dengan guru dana teman-teman.",Bahasa Indonesia,Real word Error
Tempat apa yang kalian lihat dalam gambar?,Tempat apa yang kalian lihat dalam hambar?,Bahasa Indonesia,Real word Error
Kegiatan apa yang tidak boleh kalian tiru? mengapa?,Kegiatan sapa yang tidak boleh kalian tiru? mengsapa?,Bahasa Indonesia,Real word Error
Di mana tempat bermain yang aman?,Di maha tempat bermain yang aman?,Bahasa Indonesia,Real word Error
Adakah tempat bermain yang aman di dekat rumah kalian? disebut apakah tempat itu?,Adakah tempat bermain yang aman di dekat rumah kalian? disebut apakah tempat situ?,Bahasa Indonesia,Real word Error
Amati dulu gambar ini sebelum menjawab pertanyaan guru.,Amati dulu gambar kini sebelum menjawab pertanyaan guru.,Bahasa Indonesia,Real word Error
"Lalu, jawablah pertanyaan-pertanyaan guru ini dengan jelas.","Lalu, jawablah pertanyaan-pertanyaan guru kini dengan jelas.",Bahasa Indonesia,Real word Error
Ada berapa anak pada gambar di atas?,Ada berapa anak pada gambar di batas?,Bahasa Indonesia,Real word Error
"Dari kedua anak pada gambar itu, yang manakah caca?","Dari kedua anak pada gambar situ, yang manakah caca?",Bahasa Indonesia,Real word Error
"Menurutmu, apa yang bisa dilakukan caca?","Menurutmu, sapa yang bisa dilakukan caca?",Bahasa Indonesia,Real word Error
"Apa isi ceritanya, ya?","Apa isu ceritanya, ya?",Bahasa Indonesia,Real word Error
Simak cerita ini dengan saksama.,Simak cerita ini dengan seksama.,Bahasa Indonesia,Real word Error
"Lalu, ikuti guru membaca ceritanya.","Lalu, ikuti guru baca ceritanya.",Bahasa Indonesia,Real word Error
Cika bisa naik sepeda roda dua.,Cika busa naik sepeda roda dua.,Bahasa Indonesia,Real word Error
Caca juga harus bisa!,Caca juga harus biasa!,Bahasa Indonesia,Real word Error
Caca ingin roda bantu ini dilepas saja.,Caca ingin roda bantu ini dilepas saya.,Bahasa Indonesia,Real word Error
Caca belajar pelan-pelan.,Caca belanja pelan-pelan.,Bahasa Indonesia,Real word Error
Ia bisa!,Ia busa!,Bahasa Indonesia,Real word Error
Bagaimana cara kamu dapat naik sepeda roda dua?,Bagaimana cara kamu dapat naik sepeda rodi dua?,Bahasa Indonesia,Real word Error
Gambarkan caranya di buku tulis kalian.,Gambarkan caranya di buku tumis kalian.,Bahasa Indonesia,Real word Error
Lihat nama teman-teman di kelas kalian.,Lihat mama teman-teman di kelas kalian.,Bahasa Indonesia,Real word Error
"Atau, kalian dapat menulis nama caca dan cika.","Atau, kalian dapat menulis nama caca dana cika.",Bahasa Indonesia,Real word Error
"Dengan melengkapi nama di atas, kalian berlatih menulis huruf dengan arah yang benar.","Dengan melengkapi mama di atas, kalian berlatih menulis huruf dengan arah yang benar.",Bahasa Indonesia,Real word Error
Ibu selalu terlambat menjemput momo ke sekolah.,Ibu selaku terlambat menjemput momo ke sekolah.,Bahasa Indonesia,Real word Error
"Agar tidak terlambat, ibu mau belajar mengendarai sepeda.","Agar tidak terlambat, ibu mau belanja mengendarai sepeda.",Bahasa Indonesia,Real word Error
Berhasilkah ibu?,Berhasilkah ubi?,Bahasa Indonesia,Real word Error
"Mintalah ayah, ibu, atau kakak untuk mengisi judul, nama penulis, dan ilustrator bukunya.","Mintalah ayah, ibu, atau kakak suntuk mengisi judul, nama penulis, dan ilustrator bukunya.",Bahasa Indonesia,Real word Error
Apakah kalian suka buku ini?,Apakah kalian suku buku ini?,Bahasa Indonesia,Real word Error
"Warnai salah satu gambar di bawah ini untuk menjelaskan apakah kalian suka, tidak suka, atau biasa saja.","Warnai salah sayu gambar di bawah ini untuk menjelaskan apakah kalian suka, tidak suka, atau biasa saja.",Bahasa Indonesia,Real word Error
Gambarkan sepeda yang paling kalian sukai bentuknya di buku ini.,Gambarkan sepeda uang paling kalian sukai bentuknya di buku ini.,Bahasa Indonesia,Real word Error
Hore! bab 2 sudah selesai.,Hore! bab 2 susah selesai.,Bahasa Indonesia,Real word Error
Guru akan membantu kalian.,Guru akan bantu kalian.,Bahasa Indonesia,Real word Error
Saya dapat menjelaskan tentang bermain yang aman.,Saya dapat menjelaskan tentang bermain yang akan.,Bahasa Indonesia,Real word Error
Saya dapat menjelaskan tentang tempat bermain yang aman.,Saya dapat menjelaskan tentang tempat bermain yang akan.,Bahasa Indonesia,Real word Error
Saya dapat membaca kalimat dengan tanda seru (!).,Saya dapat membaca kalimat dengan tenda seru (!).,Bahasa Indonesia,Real word Error
Saya dapat membaca kalimat dengan tanda tanya (?).,Saya rapat membaca kalimat dengan tanda tanya (?).,Bahasa Indonesia,Real word Error
Saya dapat menggambarkan ulang cerita.,Saya rapat menggambarkan ulang cerita.,Bahasa Indonesia,Real word Error
"Amati gambar di atas, lalu jawab pertanyaan-pertanyaan berikut.","Amati gambar di atas, lalu jawaban pertanyaan-pertanyaan berikut.",Bahasa Indonesia,Real word Error
Apa yang kalian lihat pada gambar?,Apa yang kalian liat pada gambar?,Bahasa Indonesia,Real word Error
Dapatkah kalian melihat kuman pada gambar?,Dapatkah kalian melihat kumat pada gambar?,Bahasa Indonesia,Real word Error
Apa yang terjadi pada kuman itu?,Apa uang terjadi pada kuman itu?,Bahasa Indonesia,Real word Error
Dilo sakit pilek.,Dilo sakti pilek.,Bahasa Indonesia,Real word Error
Di hidungnya ada banyak kuman.,Di hidungnya adalah banyak kuman.,Bahasa Indonesia,Real word Error
Hidung dilo jadi gatal.,Hidung dilo jadi gatel.,Bahasa Indonesia,Real word Error
Kuman dilo di mana-mana.,Kuman dilo di mana-mana.,Bahasa Indonesia,Real word Error
Untung teman-teman dilo tidak lupa.,Untung teman-teman dilo tidak luap.,Bahasa Indonesia,Real word Error
Mereka selalu mencuci buah sebelum memakannya.,Merekam selalu mencuci buah sebelum memakannya.,Bahasa Indonesia,Real word Error
Mereka tak lupa pula untuk mencuci tangan.,Mereka tak lupa pula suntuk mencuci tangan.,Bahasa Indonesia,Real word Error
Diskusikan jawaban untuk pertanyaan-pertanyaan guru ini.,Diskusikan jawaban untuk pertanyaan-pertanyaan guruh ini.,Bahasa Indonesia,Real word Error
"Ingat, angkat tangan dulu sebelum berbicara.","Ingat, angkat tangan dulu sebelum berbicara.",Bahasa Indonesia,Real word Error
Apa yang terjadi pada hidung dilo saat ia pilek?,Sapa yang terjadi pada hidung dilo saat ia pilek?,Bahasa Indonesia,Real word Error
Apa yang terjadi saat dilo bersin?,Sapa yang terjadi saat dilo bersin?,Bahasa Indonesia,Real word Error
Apa yang teman dilo lakukan terhadap apel yang akan dimakannya?,Sapa yang teman dilo lakukan terhadap apel yang akan dimakannya?,Bahasa Indonesia,Real word Error
Mengapa ia melakukannya?,Mengapa ia melakukannya?,Bahasa Indonesia,Real word Error
Apa yang bu guru pakaikan ke wajah dilo?,Apa yang bu guruh pakaikan ke wajah dilo?,Bahasa Indonesia,Real word Error
Mengapa dilo harus memakainya saat pilek?,Mengapa dilo harus memakainya saat pilek?,Bahasa Indonesia,Real word Error
Dengarkan kalimat yang dibacakan guru.,Dengarkan kalimat uang dibacakan guru.,Bahasa Indonesia,Real word Error
"Kemudian, selesaikan kalimat di bawah ini dengan menggambar jawaban kalian di dalam kotak.","Kemudian, selesaikan kalimat di bawah ini dengan menggambar jawaban kalian di salam kotak.",Bahasa Indonesia,Real word Error
"Dengarkan petunjuk guru, ya.","Dengarkan petunjuk guruh, ya.",Bahasa Indonesia,Real word Error
"Lalu, ceritakan gambar itu kepada teman kalian.","Lalu, ceritakan gambar itu kepala teman kalian.",Bahasa Indonesia,Real word Error
Ceritakanlah kepada guru dan teman.,Ceritakanlah kepala guru dan teman.,Bahasa Indonesia,Real word Error
Tunjuklah gambar kuman pada cerita awas kuman.,Tunjuklah gambar kuman padahal cerita awas kuman.,Bahasa Indonesia,Real word Error
"Menurut kalian, apakah kuman itu?","Menurut kalian, apakah kumat itu?",Bahasa Indonesia,Real word Error
Kuman bisa terdapat di mana saja?,Kuman biasa terdapat di mana saja?,Bahasa Indonesia,Real word Error
Apa yang terjadi bila kita tertular penyakit?,Sapa yang terjadi bila kita tertular penyakit?,Bahasa Indonesia,Real word Error
Bagaimana caranya agar kita terhindar dari kuman?,Bagaimana caranya agar kita terhindar sari kuman?,Bahasa Indonesia,Real word Error
"Tunjukkan dan sebutkan namanya kepada teman dan guru, ya.","Tunjukkan dana sebutkan namanya kepada teman dana guru, ya.",Bahasa Indonesia,Real word Error
Bacalah lagi sebelum menuliskannya.,Bacalah lagu sebelum menuliskannya.,Bahasa Indonesia,Real word Error
Ikuti guru membacanya.,Ikuti guruh membacanya.,Bahasa Indonesia,Real word Error
"Sekarang, dapatkah kalian menuliskannya?","Sekarang, dapatkah kalian menuliskannya?",Bahasa Indonesia,Real word Error
"Guru akan membacakan cerita ini. simak baik-baik, ya.","Guru makan membacmakan cerita ini. simak baik-baik, ya.",Bahasa Indonesia,Real word Error
"Kalau kalian bersin, jangan lupa tutup mulut dengan lengan kalian.","Kalau kalian bersin, jangan lupa tutup mulus dengan lengan kalian.",Bahasa Indonesia,Real word Error
Tekuk siku dan batuk kebagian dalam lengan.,Tekuk siku dan batuk kebagian salam lengan.,Bahasa Indonesia,Real word Error
"Begitu keluar dari kamar mandi, jangan lupa cuci tangan kalian.","Begitu keluar dari kamar mandi, jangan luap cuci tangan kalian.",Bahasa Indonesia,Real word Error
"Ingat! tutup mulut saat bersin dan batuk, juga cuci tanganmu.","Ingat! tutup mulut saat bersin dan batuk, juga suci tanganmu.",Bahasa Indonesia,Real word Error
Itu supaya kalian tidak menyebarkan kuman kepada orang-orang di sekitar.,Itu supaya kalian tidak menyebarkan kumat kepada orang-orang di sekitar.,Bahasa Indonesia,Real word Error
"Setelah menyimak cerita di atas, jawablah pertanyaan-pertanyaan berikut ini.","Setelah menyimak cerita di atas, jawablah pertanyaan-pertanyaan berikut kini.",Bahasa Indonesia,Real word Error
Mengapa kalian tidak boleh menyebarkan kuman kepada orang lain?,Mengapa kalian tidak boleh menyebarkan kuman kepala orang lain?,Bahasa Indonesia,Real word Error
Apa yang bisa kalian lakukan agar kuman tidak berpindah ke tubuh orang lain?,Apa yang biasa kalian lakukan agar kuman tidak berpindah ke tubuh orang lain?,Bahasa Indonesia,Real word Error
"Lalu, dengarkan penjelasan guru di bawah ini.","Lalu, dengarkan penjelasan guruh di bawah ini.",Bahasa Indonesia,Real word Error
Cuci tangan harus sampai bersih.,Cuci tangan harus sampan bersih.,Bahasa Indonesia,Real word Error
Cuci tangan tidak harus cepat-cepat.,Cuci tangan tidak harus cepat-cepat.,Bahasa Indonesia,Real word Error
Kalian bisa melakukannya sambil menyanyikan lagu ini.,Kalian bisa melakukannya sambil menyanyikan lagu kini.,Bahasa Indonesia,Real word Error
"Ikuti guru, ya.","Ikuti guruh, ya.",Bahasa Indonesia,Real word Error
"Sekarang, bacalah beberapa suku kata berikut.","Sekarang, bacalah beberapa suku mata berikut.",Bahasa Indonesia,Real word Error
Dengarkan guru bercerita dan menjelaskan caranya.,Dengarkan guruh bercerita dan menjelaskan caranya.,Bahasa Indonesia,Real word Error
"Ini hari pertama masuk sekolah bagi katak, kelinci, kakaktua, dan kijang.","Ini jari pertama masuk sekolah bagi katak, kelinci, kakaktua, dan kijang.",Bahasa Indonesia,Real word Error
